, Score ,              Original  ,        SA_AIC   ,        GA_AIC  ,        SA_QUBO  ,        GA_QUBO
,Accuracy,0.78(0.02),0.77(0.03),0.75(0.04),0.73(0.05),0.71(0.06)
,Accuracy,0.74(0.04),0.76(0.04),0.75(0.04),0.74(0.05),0.74(0.04)
,Accuracy,0.75(0.03),0.75(0.03),0.74(0.05),0.75(0.03),0.73(0.04)
,Accuracy,0.76(0.04),0.76(0.03),0.77(0.04),0.73(0.06),0.71(0.03)
,Accuracy,0.74(0.04),0.76(0.04),0.75(0.04),0.71(0.05),0.72(0.03)
,Accuracy,0.74(0.03),0.76(0.03),0.75(0.03),0.72(0.05),0.73(0.04)
,CN,48.6(13.1),6.8(2.25),8.11(9.19),3.44(1.31),4.4(1.77)
,CN,43.76(18.02),7.38(3.53),7.0(1.66),3.46(1.34),4.06(1.67)
,CN,37.6(10.33),5.68(1.3),7.47(3.49),5.08(2.43),5.14(1.65)
,CN,69.98(15.65),8.03(3.88),6.27(1.65),4.43(1.63),4.07(1.04)
,CN,87.17(9.26),7.3(2.63),6.42(2.01),4.5(1.81),4.86(1.63)
,CN,78.91(13.24),8.2(5.02),7.52(2.21),5.98(2.2),5.47(0.99)
